,variable,coefficients
151,bsmtfin_type_2_Unf,-4156.372012315059
152,heating_GasW,-7951.86341347005
153,heating_Grav,-13084.09080822285
154,heating_OthW,-34948.162703630944
155,heating_Wall,-1190.5228663786036
156,electrical_FuseF,-3241.6700436291603
157,electrical_FuseP,443.12456347764135
158,electrical_Mix,-456.0702973301105
159,electrical_SBrkr,-2245.009048678099
160,garage_type_Attchd,8371.882986061422
161,garage_type_Basment,9557.136348764616
162,garage_type_BuiltIn,13325.253747653462
163,garage_type_CarPort,9045.848219503545
164,garage_type_Detchd,10983.35417529685
165,sale_type_CWD,13392.621143387
166,sale_type_Con,30799.27404999729
167,sale_type_ConLD,12131.498523771868
168,sale_type_ConLI,10116.194015253672
169,sale_type_ConLw,3628.794989662583
170,sale_type_New,19585.17451945423
171,sale_type_Oth,7159.372002272023
172,sale_type_WD ,6783.474178454622
173,lot_frontage,2039.2906641700065
174,lot_area,2940.660312488609
175,mas_vnr_area,4324.037475712145
176,bsmtfin_sf_1,7559.310925186537
177,bsmtfin_sf_2,538.7051916174153
178,bsmt_unf_sf,-1377.6666621903655
179,total_bsmt_sf,6628.137423358203
180,1st_flr_sf,8185.396868436197
181,2nd_flr_sf,8279.373734571453
182,low_qual_fin_sf,-335.5756601555639
183,gr_liv_area,13598.259861133254
184,bsmt_full_bath,1803.7816114971552
185,bsmt_half_bath,-1001.7197773944044
186,full_bath,2157.404178693441
187,half_bath,2111.442725255898
188,bedroom_abvgr,-2444.690170461817
189,kitchen_abvgr,-1516.7477959915896
190,totrms_abvgrd,3373.4107525125482
191,fireplaces,2183.8355404652693
192,garage_yr_blt,337.1039373208972
193,garage_cars,1346.4488082237922
194,garage_area,4339.257236932872
195,wood_deck_sf,1176.9987208677326
196,open_porch_sf,818.7056877312887
197,enclosed_porch,1278.7459353962768
198,3ssn_porch,77.84606097044838
199,screen_porch,3823.367781179211
200,misc_val,-10670.133664080187
201,intercept,-1465304.578545817
